stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url
6198,108114,Rbla. de Sant Joan - Av. de Lloreda,41.45343518,2.22826556,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=108114
6199,108115,Av. Isidre Martí - CAP Lluís Millet,41.37482957,2.08350388,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=108115
6202,108118,Francesc Ribalta - Jordi de Déu,41.38774861,2.08885968,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=108118
6204,108120,Pau Vergós - Pere Joan,41.38798798,2.09133604,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=108120
6205,108121,Ferrer i Bassa - Bartomeu Bermejo,41.38650493,2.09174532,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=108121
6206,108122,August Font i Carreras - Germans Serra,41.38462822,2.08901696,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=108122
6212,108769,Juan Valera - Ptge. Albert Llanas,41.44449973,2.22223163,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=108769
6213,108771,Richard Strauss - Victor Balaguer,41.44580907,2.22157924,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=108771
6214,108772,General Moragues - Pau Piferrer,41.4477641,2.22231571,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=108772
6219,108798,Molí de la Torre - Av. de la Cerdanya,41.46423959,2.24222255,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=108798
6220,108799,Molí de la Torre - Pl. Balears,41.46265588,2.24338524,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=108799
6222,108838,Mecànica - Les Guixeres,41.46344976,2.25477605,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=108838
6224,108835,Av. Bac de Roda - Molí de la Torre,41.46026958,2.24470379,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=108835
6225,108836,Molí de la Torre - Ibèria,41.46296447,2.24333749,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=108836
6226,108837,Molí de la Torre - Av. del Conflent,41.46486851,2.24181597,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=108837
6229,108795,Canelones - Rbla. de França,41.45675256,2.21933022,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=108795
6230,108713,Roma - Pl. Barri Llatí,41.454747,2.21705945,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=108713
6231,108501,Av. Montejurra - Consell Comarcal ,41.37968084,2.05332222,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=108501
6232,108148,Consell Comarcal ,41.37950254,2.05334209,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=108148
6234,108150,Sant Roc - Esquirol,41.36631276,2.01274885,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=108150
6235,108151,Sant Roc - del Bosc,41.36659252,2.01345105,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=108151
6236,108152,Av. de la Generalitat - Av. Montejurra,41.3769778,2.05507637,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=108152
6237,108658,Av. de la Generalitat - Av. Torreblanca,41.37717544,2.05511343,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=108658
6239,108665,Av. Generalitat - Noi del Sucre,41.31408788,2.01918898,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=108665
6241,108157,Balmes - Canigó,41.38663058,2.08176515,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=108157
6242,107519,Can Solanes - La Plana,41.39196923,2.07289144,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=107519
6244,109210,Rbla. Sant Sebastià - Sagarra,41.45066491,2.21139524,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=109210
6245,108161,Sant Josep - Indústria,41.38648985,2.03755302,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=108161
6246,108162,Sant Josep - Comerç,41.39035987,2.03528161,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=108162
6247,108163,Tanatori,41.39466695,2.03313662,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=108163
6249,2966,Amadeu Torner,41.356535,2.124157,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=002966
6252,3428,Major - Riera d'en Nofre,41.3690557,2.05268237,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=003428
6253,108169,Ctra. de Can Ruti - Centre disminuïts psíquics ,41.47613918,2.23849363,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=108169
6254,3429,Ctra. BV 2001 - benzinera,41.37059,2.050412,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=003429
