stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
1117,,"Alicante (Colegio Islas Canarias)",,28.08472700,-15.41719400,,,,,,
1122,,"Alicante (Colegio Islas Canarias)",,28.08505900,-15.41711000,,,,,,
1051,,"Alm. Benítez Inglott (C.S. Escaleritas)",,28.11265500,-15.43800100,,,,,,
1049,,"Alm. Benítez Inglott, 12",,28.11375500,-15.43609600,,,,,,
1345,,"Ana Benítez, 7",,28.09671500,-15.43903800,,,,,,
1343,,"Ana Benítez, frente 42",,28.09793300,-15.43815100,,,,,,
1341,,"Ana Benítez, frente 92",,28.09865200,-15.43554900,,,,,,
1214,,"Andenes, 19",,28.09832700,-15.42926900,,,,,,
1190,,"Andenes, 9",,28.09845200,-15.42801500,,,,,,
1177,,"Andenes, frente 15",,28.09858800,-15.42839500,,,,,,
1197,,"Andenes, frente 39",,28.09829500,-15.42981900,,,,,,
1136,,"Anton Dvorak, 5",,28.07424600,-15.41869500,,,,,,
1519,,"Archivero Joaquín Blanco Montesdeoca (Mimosa)",,28.11302100,-15.45163000,,,,,,
1520,,"Archivero Joaquín Blanco Montesdeoca, 21",,28.11379500,-15.45374200,,,,,,
1529,,"Archivero Joaquín Blanco Montesdeoca (Rtda. Nicolás Díaz Chico)",,28.11467900,-15.45488400,,,,,,
1606,,"Archivero Joaquín Blanco Montesdeoca, 3",,28.11112300,-15.44954600,,,,,,
1597,,"Archivero Joaquín Blanco Montesdeoca, frente 3",,28.11120900,-15.44891600,,,,,,
1500,,"Arequipa (Guaguas Municipales)",,28.15667400,-15.42201700,,,,,,
1169,,"Arguineguín",,28.10926667,-15.45698333,,,,,,
1238,,"Arguineguín, 8",,28.10938333,-15.45710000,,,,,,
1540,,"Arminda (La Favorita)",,28.08509000,-15.43717000,,,,,,
1985,,"Arminda, 28 (El Secadero)",,28.08301000,-15.43896800,,,,,,
1525,,"Arminda, frente 1",,28.08486667,-15.43735000,,,,,,
1980,,"Arquitecto Laureano Arroyo (San Francisco de Paula)",,28.05667900,-15.45137800,,,,,,
1676,,"Arquitecto Laureano Arroyo, 102 B",,28.05899800,-15.44717200,,,,,,
1678,,"Arquitecto Laureano Arroyo, 64",,28.05762500,-15.45064200,,,,,,
1687,,"Arquitecto Laureano Arroyo, 73",,28.05763900,-15.45072900,,,,,,
1683,,"Arquitecto Laureano Arroyo, 80",,28.05834100,-15.44941100,,,,,,
1111,,"Aldea Blanca (Tanatorio San Miguel)",,28.11283333,-15.45568333,,,,,,
1228,,"Aldea Blanca (Tanatorio San Miguel)",,28.11278333,-15.45588333,,,,,,
1278,,"Bandama, 25",,28.15436700,-15.42452900,,,,,,
1220,,"Barahona, 19",,28.09200700,-15.43381400,,,,,,
1201,,"Barahona, 77",,28.09461300,-15.43318700,,,,,,
1203,,"Barahona, frente 19",,28.09196000,-15.43407500,,,,,,
1202,,"Batería de San Juan",,28.09378500,-15.42240100,,,,,,
1975,,"Batería de San Juan",,28.09359800,-15.42195800,,,,,,
1185,,"Batería de San Juan, 16",,28.09577400,-15.42093700,,,,,,
1187,,"Batería de San Juan, 48",,28.09451100,-15.42177100,,,,,,
1140,,"Berlioz, 5",,28.07446400,-15.42026200,,,,,,
1585,,"Betania, 41",,28.10235700,-15.46842100,,,,,,
1583,,"Betania, 69",,28.10082500,-15.46963600,,,,,,
1587,,"Betania, 7",,28.10355000,-15.46770000,,,,,,
1077,,"Blas Cabrera Felipe (Carrefour)",,28.07183400,-15.41781700,,,,,,
1102,,"Blas Cabrera Felipe (Carrefour)",,28.07208600,-15.41763000,,,,,,
1089,,"Blas Cabrera Felipe (Iglesia Sta. Clara)",,28.08401200,-15.41925300,,,,,,
1094,,"Blas Cabrera Felipe (Iglesia Sta. Clara)",,28.08225000,-15.41876600,,,,,,
