service_id,date,exception_type
1.5.H181,20190929,1
1.5.H166,20190930,1
1.5.H166,20191001,1
1.5.H166,20191002,1
1.5.H166,20191003,1
1.5.H169,20191004,1
1.5.H185,20191005,1
1.5.H181,20191006,1
1.5.H166,20191007,1
1.5.H166,20191008,1
1.5.H166,20191009,1
1.5.H166,20191010,1
1.5.H169,20191011,1
1.5.H181,20191012,1
1.5.H181,20191013,1
1.5.H166,20191014,1
1.5.H166,20191015,1
1.5.H166,20191016,1
1.5.H166,20191017,1
1.5.H169,20191018,1
1.5.H185,20191019,1
1.5.H181,20191020,1
1.5.H166,20191021,1
1.5.H166,20191022,1
1.5.H166,20191023,1
1.5.H166,20191024,1
1.5.H169,20191025,1
1.5.H185,20191026,1
1.5.H181,20191027,1
1.5.H166,20191028,1
1.5.H166,20191029,1
1.5.H166,20191030,1
1.5.H166,20191031,1
1.5.H181,20191101,1
1.5.H185,20191102,1
1.5.H181,20191103,1
1.5.H166,20191104,1
1.5.H166,20191105,1
1.5.H166,20191106,1
1.5.H166,20191107,1
1.5.H169,20191108,1
1.5.H185,20191109,1
1.5.H181,20191110,1
1.5.H166,20191111,1
1.5.H166,20191112,1
1.5.H166,20191113,1
1.5.H166,20191114,1
1.5.H169,20191115,1
1.5.H185,20191116,1
1.5.H181,20191117,1
1.5.H166,20191118,1
1.5.H166,20191119,1
1.5.H166,20191120,1
1.5.H166,20191121,1
1.5.H169,20191122,1
1.5.H185,20191123,1
1.5.H181,20191124,1
1.5.H166,20191125,1
1.5.H166,20191126,1
1.5.H166,20191127,1
1.5.H166,20191128,1
1.5.H169,20191129,1
1.5.H185,20191130,1
1.5.H181,20191201,1
1.5.H166,20191202,1
1.5.H166,20191203,1
1.5.H166,20191204,1
1.5.H166,20191205,1
1.5.H181,20191206,1
1.5.H185,20191207,1
1.5.H181,20191208,1
1.5.H166,20191209,1
1.5.H166,20191210,1
1.5.H166,20191211,1
1.5.H166,20191212,1
1.5.H169,20191213,1
1.5.H185,20191214,1
1.5.H181,20191215,1
1.5.H166,20191216,1
1.5.H166,20191217,1
1.5.H166,20191218,1
1.5.H166,20191219,1
1.5.H169,20191220,1
1.5.H185,20191221,1
1.5.H181,20191222,1
1.5.H166,20191223,1
1.5.H166,20191224,1
1.5.H181,20191225,1
1.5.H181,20191226,1
1.5.H169,20191227,1
1.5.H185,20191228,1
1.5.H181,20191229,1
1.5.H166,20191230,1
1.5.H166,20191231,1
1.11.H214,20190704,1
1.11.H215,20190705,1
1.11.H216,20190706,1
1.11.H217,20190707,1
1.11.H213,20190708,1
1.11.H214,20190709,1
1.11.H214,20190710,1
1.11.H214,20190711,1
1.11.H215,20190712,1
1.11.H216,20190713,1
1.11.H217,20190714,1
1.11.H213,20190715,1
1.11.H213,20190716,1
1.11.H213,20190717,1
1.11.H213,20190718,1
1.11.H215,20190719,1
1.11.H216,20190720,1
1.11.H217,20190721,1
1.11.H213,20190722,1
1.11.H213,20190723,1
1.11.H213,20190724,1
1.11.H213,20190725,1
1.11.H215,20190726,1
1.11.H216,20190727,1
1.11.H217,20190728,1
1.11.H213,20190729,1
1.11.H213,20190730,1
1.11.H213,20190731,1
1.11.H213,20190801,1
1.11.H215,20190802,1
1.11.H216,20190803,1
1.11.H217,20190804,1
1.11.H213,20190805,1
1.11.H213,20190806,1
1.11.H213,20190807,1
1.11.H213,20190808,1
1.11.H215,20190809,1
1.11.H216,20190810,1
1.11.H217,20190811,1
1.11.H213,20190812,1
1.11.H213,20190813,1
1.11.H213,20190814,1
1.11.H217,20190815,1
1.11.H215,20190816,1
1.11.H216,20190817,1
1.11.H217,20190818,1
1.11.H213,20190819,1
1.11.H213,20190820,1
1.11.H213,20190821,1
1.11.H213,20190822,1
1.11.H215,20190823,1
1.11.H216,20190824,1
1.11.H217,20190825,1
1.11.H213,20190826,1
1.11.H213,20190827,1
1.11.H213,20190828,1
1.11.H213,20190829,1
1.11.H215,20190830,1
1.11.H216,20190831,1
1.11.H217,20190901,1
1.11.H213,20190902,1
1.11.H213,20190903,1
1.11.H213,20190904,1
1.11.H213,20190905,1
1.11.H215,20190906,1
1.11.H216,20190907,1
1.11.H217,20190908,1
1.11.H213,20190909,1
1.11.H213,20190910,1
1.11.H217,20190911,1
1.11.H213,20190912,1
1.11.H215,20190913,1
1.11.H216,20190914,1
1.11.H217,20190915,1
1.11.H213,20190916,1
1.11.H213,20190917,1
1.11.H213,20190918,1
1.11.H213,20190919,1
1.11.H215,20190920,1
1.11.H216,20190921,1
1.11.H217,20190922,1
1.11.H213,20190923,1
1.11.H217,20190924,1
1.11.H213,20190925,1
1.11.H213,20190926,1
1.11.H215,20190927,1
1.11.H216,20190928,1
1.11.H217,20190929,1
1.11.H213,20190930,1
1.11.H213,20191001,1
1.11.H213,20191002,1
1.11.H213,20191003,1
1.11.H215,20191004,1
1.11.H216,20191005,1
1.11.H217,20191006,1
1.11.H213,20191007,1
1.11.H213,20191008,1
1.11.H213,20191009,1
1.11.H213,20191010,1
1.11.H215,20191011,1
1.11.H217,20191012,1
1.11.H217,20191013,1
1.11.H213,20191014,1
1.11.H213,20191015,1
1.11.H213,20191016,1
1.11.H213,20191017,1
1.11.H215,20191018,1
1.11.H216,20191019,1
1.11.H217,20191020,1
1.11.H213,20191021,1
1.11.H213,20191022,1
1.11.H213,20191023,1
1.11.H213,20191024,1
1.11.H215,20191025,1
1.11.H216,20191026,1
1.11.H217,20191027,1
1.11.H213,20191028,1
1.11.H213,20191029,1
1.11.H213,20191030,1
1.11.H213,20191031,1
1.11.H217,20191101,1
1.11.H216,20191102,1
1.11.H217,20191103,1
1.11.H213,20191104,1
1.11.H213,20191105,1
1.11.H213,20191106,1
1.11.H213,20191107,1
1.11.H215,20191108,1
1.11.H216,20191109,1
1.11.H217,20191110,1
1.11.H213,20191111,1
1.11.H213,20191112,1
1.11.H213,20191113,1
1.11.H213,20191114,1
1.11.H215,20191115,1
1.11.H216,20191116,1
1.11.H217,20191117,1
1.11.H213,20191118,1
1.11.H213,20191119,1
1.11.H213,20191120,1
1.11.H213,20191121,1
1.11.H215,20191122,1
1.11.H216,20191123,1
1.11.H217,20191124,1
1.11.H213,20191125,1
1.11.H213,20191126,1
1.11.H213,20191127,1
1.11.H213,20191128,1
1.11.H215,20191129,1
1.11.H216,20191130,1
1.11.H217,20191201,1
1.11.H213,20191202,1
1.11.H213,20191203,1
1.11.H213,20191204,1
1.11.H213,20191205,1
1.11.H217,20191206,1
1.11.H216,20191207,1
1.11.H217,20191208,1
1.11.H213,20191209,1
1.11.H213,20191210,1
1.11.H213,20191211,1
1.11.H213,20191212,1
1.11.H215,20191213,1
1.11.H216,20191214,1
1.11.H217,20191215,1
1.11.H213,20191216,1
1.11.H213,20191217,1
1.11.H213,20191218,1
1.11.H213,20191219,1
